ID,Type,SKU,Name,Description,Tax status,In stock?,Regular price,Categories,Tags,Images,Brands
,simple,DS-K1101MK,HIKVISION DS-K1101MK Mifare Card Reader with Keypad,"HIKVISION DS-K1101MK Mifare Card Reader with Keypad is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1101MK.",taxable,1,21,Access & Attendance Control Hardware > Access Devices,"Access & Attendance Control Hardware, Access Devices, HIKVISION, DS-K1101MK, Tenda, Attendance, Jordan",DS-K1101MK-1200x1200.png,HIKVISION
,simple,DS-K1102AMK,HIKVISION DS-K1102AMK Card Reader,"HIKVISION DS-K1102AMK Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1102AMK.",taxable,1,28,Access & Attendance Control Hardware > Access Devices,"Access & Attendance Control Hardware, Access Devices, HIKVISION, DS-K1102AMK, Tenda, Attendance, Jordan",DS-K1102AMK-1200x1200.png,HIKVISION
,simple,DS-K1104MK,HIKVISION DS-K1104MK Pro 1104 Series Metal Vandal-proof Card Reader,"HIKVISION DS-K1104MK Pro 1104 Series Metal Vandal-proof Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1104MK.",taxable,1,54,Access & Attendance Control Hardware > Access Devices,"Access & Attendance Control Hardware, Access Devices, HIKVISION, DS-K1104MK, Tenda, Attendance, Jordan",DS-K1104MK-1200x1200.png,HIKVISION
,simple,DS-K1108AMK,HIKVISION DS-K1108AMK Pro 1108A Series Card Reader,"HIKVISION DS-K1108AMK Pro 1108A Series Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1108AMK.",taxable,1,26,Access & Attendance Control Hardware > Access Devices,"Access & Attendance Control Hardware, Access Devices, HIKVISION, DS-K1108AMK, Tenda, Attendance, Jordan",DS-K1108AMK-1200x1200.png,HIKVISION
,simple,DS-K1109DKB,HIKVISION DS-K1109DKB Card Reader,"HIKVISION DS-K1109DKB Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1109DKB.",taxable,1,46,Access & Attendance Control Hardware > Access Devices,"Access & Attendance Control Hardware, Access Devices, HIKVISION, DS-K1109DKB, Tenda, Attendance, Jordan",DS-K1109DKB-1200x1200.png,HIKVISION
,simple,DS-K1109DKFB,HIKVISION DS-K1109DKFB Card Reader,"HIKVISION DS-K1109DKFB Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1109DKFB.",taxable,1,58,Access & Attendance Control Hardware > Access Devices,"Access & Attendance Control Hardware, Access Devices, HIKVISION, DS-K1109DKFB, Tenda, Attendance, Jordan",DS-K1109DKFB-1200x1200.png,HIKVISION
,simple,DS-K1109DKFB-QR,HIKVISION DS-K1109DKFB-QR Card Reader,"HIKVISION DS-K1109DKFB-QR Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1109DKFB-QR.",taxable,1,69,Access & Attendance Control Hardware > Access Devices,"Access & Attendance Control Hardware, Access Devices, HIKVISION, DS-K1109DKFB-QR, Tenda, Attendance, Jordan",DS-K1109DKFB-QR-1-1200x1200.png,HIKVISION
,simple,DS-K1201AMF,HIKVISION DS-K1201AMF Fingerprint Reader,"HIKVISION DS-K1201AMF Fingerprint Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1201AMF.",taxable,1,42,Access & Attendance Control Hardware > Access Devices,"Access & Attendance Control Hardware, Access Devices, HIKVISION, DS-K1201AMF, Tenda, Attendance, Jordan",DS-K1101MK-1200x1200-001.png,HIKVISION
,simple,DS-K1801MK,HIKVISION DS-K1801 Value 1801 Card Reader (EM & MF & Keyboard),"HIKVISION DS-K1801 Value 1801 Card Reader (EM & MF & Keyboard) is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1801MK.",taxable,1,18,Access & Attendance Control Hardware > Access Devices,"Access & Attendance Control Hardware, Access Devices, HIKVISION, DS-K1801MK, Tenda, Attendance, Jordan",DS-K1801MK-1200x1200.png,HIKVISION
,simple,DS-K1802MK,HIKVISION DS-K1802 Value 1802 Card Reader (EM & MF & Keyboard),"HIKVISION DS-K1802 Value 1802 Card Reader (EM & MF & Keyboard) is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1802MK.",taxable,1,20,Access & Attendance Control Hardware > Access Devices,"Access & Attendance Control Hardware, Access Devices, HIKVISION, DS-K1802MK, Tenda, Attendance, Jordan",DS-K1802MK-1200x1200.png,HIKVISION
,simple,DS-K1T105AM,HIKVISION DS-K1T105AM Pro Series Card Terminal,"HIKVISION DS-K1T105AM Pro Series Card Terminal is a access control terminals from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1T105AM.",taxable,1,69,Access & Attendance Control Hardware > Access Devices > Access Control Terminals,"Access & Attendance Control Hardware, Access Devices, Access Control Terminals, HIKVISION, DS-K1T105AM, Tenda, Access Control, Attendance, Jordan",DS-K1T105AM-1200x1200.png,HIKVISION
,simple,DS-K1T320MFWX,HIKVISION DS-K1T320MFWX Value Series Face Access Terminal,"HIKVISION DS-K1T320MFWX Value Series Face Access Terminal is a access control terminals from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1T320MFWX.",taxable,1,54,Access & Attendance Control Hardware > Access Devices > Access Control Terminals,"Access & Attendance Control Hardware, Access Devices, Access Control Terminals, HIKVISION, DS-K1T320MFWX, Tenda, Access Control, Attendance, Jordan",DS-K1T320MFWX-1200x1200.png,HIKVISION
,simple,DS-K1T320MFWX-B,HIKVISION DS-K1T320MFWX-B Value Series Face Access Terminal,"HIKVISION DS-K1T320MFWX-B Value Series Face Access Terminal is a access control terminals from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1T320MFWX-B.",taxable,1,66,Access & Attendance Control Hardware > Access Devices > Access Control Terminals,"Access & Attendance Control Hardware, Access Devices, Access Control Terminals, HIKVISION, DS-K1T320MFWX-B, Tenda, Access Control, Attendance, Jordan",DS-K1T320MFWX-B-1200x1200.png,HIKVISION
,simple,DS-K1T320MWX,HIKVISION DS-K1T320MWX Value Series Face Access Terminal,"HIKVISION DS-K1T320MWX Value Series Face Access Terminal is a access control terminals from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1T320MWX.",taxable,1,50,Access & Attendance Control Hardware > Access Devices > Access Control Terminals,"Access & Attendance Control Hardware, Access Devices, Access Control Terminals, HIKVISION, DS-K1T320MWX, Tenda, Access Control, Attendance, Jordan",DS-K1T320MWX-1200x1200.png,HIKVISION
,simple,DS-K1T321MFWX,HIKVISION DS-K1T321MFWX Value Series Face Access Terminal,"HIKVISION DS-K1T321MFWX Value Series Face Access Terminal is a access control terminals from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1T321MFWX.",taxable,1,72,Access & Attendance Control Hardware > Access Devices > Access Control Terminals,"Access & Attendance Control Hardware, Access Devices, Access Control Terminals, HIKVISION, DS-K1T321MFWX, Tenda, Access Control, Attendance, Jordan",DS-K1T321MFWX-1200x1200.png,HIKVISION
,simple,DS-K1T331W,HIKVISION DS-K1T331W Value Series Face Access Terminal,"HIKVISION DS-K1T331W Value Series Face Access Terminal is a access control terminals from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1T331W.",taxable,1,79,Access & Attendance Control Hardware > Access Devices > Access Control Terminals,"Access & Attendance Control Hardware, Access Devices, Access Control Terminals, HIKVISION, DS-K1T331W, Tenda, Access Control, Attendance, Jordan",DS-K1T331W-1200x1200.png,HIKVISION
,simple,DS-K1T341AM,HIKVISION DS-K1T341AM Value Series Face Access Terminal,"HIKVISION DS-K1T341AM Value Series Face Access Terminal is a access control terminals from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1T341AM.",taxable,1,155,Access & Attendance Control Hardware > Access Devices > Access Control Terminals,"Access & Attendance Control Hardware, Access Devices, Access Control Terminals, HIKVISION, DS-K1T341AM, Tenda, Access Control, Attendance, Jordan",DS-K1T341AM-1200x1200.png,HIKVISION
,simple,DS-K1T341AMF,HIKVISION DS-K1T341AMF Value Series Face Access Terminal,"HIKVISION DS-K1T341AMF Value Series Face Access Terminal is a access control terminals from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1T341AMF.",taxable,1,165,Access & Attendance Control Hardware > Access Devices > Access Control Terminals,"Access & Attendance Control Hardware, Access Devices, Access Control Terminals, HIKVISION, DS-K1T341AMF, Tenda, Access Control, Attendance, Jordan",DS-K1T341AMF-1200x1200.png,HIKVISION
,simple,DS-K1T341CM,HIKVISION DS-K1T341CM Value Series Face Access Terminal,"HIKVISION DS-K1T341CM Value Series Face Access Terminal is a access control terminals from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1T341CM.",taxable,1,150,Access & Attendance Control Hardware > Access Devices > Access Control Terminals,"Access & Attendance Control Hardware, Access Devices, Access Control Terminals, HIKVISION, DS-K1T341CM, Tenda, Access Control, Attendance, Jordan",DS-K1T341AM-1200x1200-001.png,HIKVISION
,simple,DS-K1T341CMF,HIKVISION DS-K1T341CMF Value Series Face Access Terminal,"HIKVISION DS-K1T341CMF Value Series Face Access Terminal is a access control terminals from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1T341CMF.",taxable,1,155,Access & Attendance Control Hardware > Access Devices > Access Control Terminals,"Access & Attendance Control Hardware, Access Devices, Access Control Terminals, HIKVISION, DS-K1T341CMF, Tenda, Access Control, Attendance, Jordan",DS-K1T341AMF-1200x1200-001.png,HIKVISION
,simple,DS-K1T341CMFW,HIKVISION DS-K1T341CMFW Value Series Face Access Terminal,"HIKVISION DS-K1T341CMFW Value Series Face Access Terminal is a access control terminals from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1T341CMFW.",taxable,1,165,Access & Attendance Control Hardware > Access Devices > Access Control Terminals,"Access & Attendance Control Hardware, Access Devices, Access Control Terminals, HIKVISION, DS-K1T341CMFW, Tenda, Access Control, Attendance, Jordan",DS-K1T341AMF-1200x1200-002.png,HIKVISION
